program_name,program_url
Honours BA North American Studies in Combination with another Honours BA Program,https://academic-calendar.wlu.ca/program.php?cal=1&d=3090&p=7038&s=1151&y=92
Honours BA North American Studies in Combination with another Honours BA program,https://academic-calendar.wlu.ca/program.php?cal=1&d=3069&p=6957&s=1151&y=92
Honours BA Philosophy,https://academic-calendar.wlu.ca/program.php?cal=1&d=3068&p=6948&s=1151&y=92
Honours BA Philosophy and LLB (Sussex) Stream,https://academic-calendar.wlu.ca/program.php?cal=1&d=3068&p=6951&s=1151&y=92
Honours BA Philosophy in Combination with another Honours BA Program,https://academic-calendar.wlu.ca/program.php?cal=1&d=3068&p=6949&s=1151&y=92
"Honours BA Philosophy, Co-operative Education",https://academic-calendar.wlu.ca/program.php?cal=1&d=3068&p=7354&s=1151&y=92
Honours BA Policing,https://academic-calendar.wlu.ca/program.php?cal=1&d=3191&p=7316&s=1165&y=92
Honours BA Policing in Combination with another Honours BA Program,https://academic-calendar.wlu.ca/program.php?cal=1&d=3191&p=7318&s=1165&y=92
Honours BA Political Science,https://academic-calendar.wlu.ca/program.php?cal=1&d=3069&p=6952&s=1151&y=92
Honours BA Political Science and LLB (Sussex) stream,https://academic-calendar.wlu.ca/program.php?cal=1&d=3069&p=6961&s=1151&y=92
Honours BA Political Science in Combination with another Honours BA Program,https://academic-calendar.wlu.ca/program.php?cal=1&d=3069&p=6953&s=1151&y=92
"Honours BA Political Science, Co-operative Education",https://academic-calendar.wlu.ca/program.php?cal=1&d=3069&p=6964&s=1151&y=92
Honours BA Psychology,https://academic-calendar.wlu.ca/program.php?cal=1&d=3185&p=7304&s=1165&y=92
Honours BA Psychology,https://academic-calendar.wlu.ca/program.php?cal=1&d=3115&p=7093&s=1152&y=92
Honours BA Psychology in Combination with another Honours BA Program,https://academic-calendar.wlu.ca/program.php?cal=1&d=3185&p=7302&s=1165&y=92
Honours BA Psychology in Combination with another Honours BA Program,https://academic-calendar.wlu.ca/program.php?cal=1&d=3115&p=7094&s=1152&y=92
Honours BA Psychology: Forensic Specialization,https://academic-calendar.wlu.ca/program.php?cal=1&d=3185&p=7305&s=1165&y=92
Honours BA Psychology: Forensic Specialization in Combination with another Honours BA Program,https://academic-calendar.wlu.ca/program.php?cal=1&d=3185&p=7306&s=1165&y=92
Honours BA Psychology: Research Specialist,https://academic-calendar.wlu.ca/program.php?cal=1&d=3115&p=7097&s=1152&y=92
Honours BA Public Safety,https://academic-calendar.wlu.ca/program.php?cal=1&d=3191&p=7319&s=1165&y=92
Honours BA Public Safety in Combination with another Honours BA Program,https://academic-calendar.wlu.ca/program.php?cal=1&d=3191&p=7320&s=1165&y=92
Honours BA Public Safety: Advanced Standing Program,https://academic-calendar.wlu.ca/program.php?cal=1&d=3191&p=7314&s=1165&y=92
Honours BA Religion and Culture,https://academic-calendar.wlu.ca/program.php?cal=1&d=3070&p=6965&s=1151&y=92
Honours BA Religion and Culture in Combination with another Honours BA Program,https://academic-calendar.wlu.ca/program.php?cal=1&d=3070&p=6966&s=1151&y=92
Honours BA Religion and Culture with Co-Operative Education,https://academic-calendar.wlu.ca/program.php?cal=1&d=3070&p=6968&s=1151&y=92
Honours BA Social and Environmental Justice - Admissions Suspended 2019-20,https://academic-calendar.wlu.ca/program.php?cal=1&d=3136&p=7179&s=1153&y=92
Honours BA Social and Environmental Justice in Combination with another Honours BA Program - Admissions Suspended 2019-20,https://academic-calendar.wlu.ca/program.php?cal=1&d=3136&p=7180&s=1153&y=92
Honours BA Sociology,https://academic-calendar.wlu.ca/program.php?cal=1&d=3071&p=6969&s=1151&y=92
Honours BA Sociology in Combination with another Honours BA Program,https://academic-calendar.wlu.ca/program.php?cal=1&d=3071&p=6970&s=1151&y=92
"Honours BA Sociology, Co-operative Education",https://academic-calendar.wlu.ca/program.php?cal=1&d=3071&p=6973&s=1151&y=92
Honours BA Spanish in Combination with another Honours BA Program,https://academic-calendar.wlu.ca/program.php?cal=1&d=3072&p=6974&s=1151&y=92
Honours BA Women and Gender Studies,https://academic-calendar.wlu.ca/program.php?cal=1&d=3073&p=6978&s=1151&y=92
Honours BA Women and Gender Studies in Combination with another Honours BA Program,https://academic-calendar.wlu.ca/program.php?cal=1&d=3073&p=6976&s=1151&y=92
"Honours BA Women and Gender Studies, Co-operative Education",https://academic-calendar.wlu.ca/program.php?cal=1&d=3073&p=7355&s=1151&y=92
